ID,Title,Category,Tool,Tags,Tier,Prompt Text
1,"Close-Up Detail B-Roll","B-Roll","Pika","closeup, detail, hands, craft","Free","Intimate close-up shots, shallow depth of field, hands working on craft, texture focus, warm natural lighting, documentary style, emotional connection, professional color grade"
2,"Establishing Wide Shot","B-Roll","Runway","wide, establishing, epic, scale","Free","Wide establishing shot of location, slow push-in movement, dramatic sky, sense of scale, cinematic composition, professional film opening aesthetic, 4K quality, epic feel"
3,"Gimbal Walking Shot","B-Roll","Pika","gimbal, walking, urban, smooth","Free","Smooth gimbal stabilized walking shot, following subject from behind, urban environment, shallow depth of field, cinematic motion, professional music video aesthetic, golden hour lighting"
4,"Handheld Documentary Style","B-Roll","Runway","handheld, documentary, natural, authentic","Free","Handheld camera movement, subtle natural shake, following subject through environment, natural lighting, documentary style, authentic feel, slight motion blur on edges, cinéma vérité aesthetic"
5,"Smooth Aerial Drone Shot","B-Roll","Pika","drone, landscape, travel, aerial","Free","Aerial drone footage, smooth gliding motion over landscape, golden hour lighting, cinematic color grade, slight lens flare, professional travel documentary style, 4K resolution, sweeping vista"
6,"Clean Corporate Interview","Interview","Pika","interview, corporate, clean, professional","Free","Clean professional interview setup, soft even lighting, neutral background, subject centered, broadcast quality, corporate documentary style, sharp focus, professional headshot aesthetic"
7,"Dramatic Lighting Portrait","Interview","Runway","interview, portrait, dramatic, rembrandt","Free","Dramatic interview lighting, Rembrandt style with triangle highlight on cheek, subject looking slightly off-camera, shallow depth of field, film grain texture, cinematic mood, dark background with rim light separation"
8,"Natural Window Light Interview","Interview","Runway","interview, natural, window, authentic","Free","Natural window light interview, soft diffused lighting on subject, environmental background showing context, authentic feel, documentary style, shallow depth of field, warm tones"
9,"Silhouette Interview","Interview","Pika","interview, silhouette, dramatic, moody","Free","Dramatic silhouette of subject against bright background, rim lighting creating edge separation, mysterious mood, subject gesturing, cinematic interview style, high contrast"
10,"Two-Person Interview Setup","Interview","Runway","interview, two-shot, conversation, broadcast","Free","Two-shot interview framing, both subjects in frame, professional lighting on both, shallow depth of field, over-shoulder angle option, broadcast documentary style, engaging conversation feel"
11,"Cinematic Title Background","Motion Graphics","Pika","titles, background, cinematic, moody","Free","Dramatic cinematic background for titles, subtle smoke or fog, moody lighting, dark tones with accent color, film grain texture, perfect for opening credits, epic feel"
12,"Data Visualization Motion","Motion Graphics","Runway","data, charts, corporate, tech","Free","Clean data visualization motion graphics, bar charts growing, numbers counting up, tech aesthetic, blue and white color scheme, corporate style, smooth animations, professional presentation"
13,"Logo Reveal Animation","Motion Graphics","Runway","logo, reveal, corporate, elegant","Free","Professional logo reveal, elegant animation, particle effects forming logo, corporate style, clean background, smooth motion, premium brand introduction, 4K quality"
14,"Seamless Loop Background","Motion Graphics","Runway","background, loop, abstract, particles","Free","Abstract flowing particles, seamless loop animation, soft gradients in teal and coral, gentle organic motion, perfect for text overlay, 4K, smooth 60fps, corporate presentation aesthetic"
15,"Social Media Text Background","Motion Graphics","Pika","social, background, trending, vertical","Free","Vibrant background for social media text, trending gradient colors, subtle motion, youth aesthetic, Instagram/TikTok style, energetic feel, 9:16 vertical format optimized"
16,"Cinematic Product Rotation","Product Demo","Runway","product, commercial, rotation, 360","Free","Cinematic product shot, rotating 360° on seamless black background, studio lighting with soft reflections, shallow depth of field, 8K quality, motion blur on rotation, professional commercial aesthetic, clean minimal setup"
17,"Floating Product Showcase","Product Demo","Pika","product, floating, minimal, premium","Free","Elegant product floating in mid-air, zero gravity effect, soft studio lighting from above, subtle shadows on white surface, minimalist aesthetic, premium brand feel, shallow depth of field, 4K commercial quality"
18,"Luxury Product Detail Shot","Product Demo","Runway","product, macro, luxury, detail","Free","Extreme close-up of luxury product texture, macro lens effect, dramatic side lighting creating highlights on metallic surface, shallow depth of field, premium craftsmanship focus, cinematic mood"
19,"Product Lifestyle Context","Product Demo","Pika","product, lifestyle, natural, warm","Free","Product naturally placed in lifestyle setting, soft morning light through window, authentic environment, subtle hand interacting with product, Instagram aesthetic, warm tones, shallow depth of field"
20,"Product Unboxing Motion","Product Demo","Runway","product, unboxing, hands, social","Free","Smooth hands opening premium product packaging, overhead angle, soft natural lighting, anticipation building, reveal moment, unboxing experience, social media style, shallow depth of field on product"
21,"Clean Cut on Action","Transitions","Runway","action, cut, clean, fluid","Free","Clean cut on peak action moment, movement carrying across cut, invisible transition, professional continuity editing, sports or action aesthetic, fluid motion maintenance"
22,"Fade to Black Dramatic","Transitions","Runway","fade, black, dramatic, emotional","Free","Slow dramatic fade to black, emotional beat, cinematic pause, film ending aesthetic, intentional timing, melancholy or reflective mood, professional color grade to black"
23,"Match Cut Frame","Transitions","Pika","match, cut, continuity, editorial","Free","Match cut on similar shapes or colors between two scenes, visual continuity, editorial precision, clever transition, professional film editing, satisfying connection, artistic flow"
24,"Smooth Whip Pan","Transitions","Runway","whip, pan, fast, energy","Free","Fast whip pan transition, motion blur streaking across frame, energetic direction change, music video style, dynamic energy, seamless cut point, professional editing aesthetic"
25,"Zoom Blur Transition","Transitions","Pika","zoom, blur, radial, energy","Free","Quick zoom with radial blur transition, disorienting yet energetic, warp speed effect, dynamic movement, action sequence style, high energy cut, music video aesthetic"
26,"Drone Orbit Shot","B-Roll","Pika","drone, orbit, epic, reveal","Pro","Cinematic drone orbiting subject, perfect circular motion, subject centered, background rotating, dramatic reveal of landscape, professional aerial cinematography, 4K quality, epic scale"
27,"Hyperlapse Urban Motion","B-Roll","Pika","hyperlapse, urban, time, dynamic","Pro","Smooth hyperlapse through urban environment, time compression effect, dynamic motion blur, city energy, architectural focus, professional travel videography, fast yet smooth movement, 4K"
28,"POV Adventure Shot","B-Roll","Pika","pov, action, adventure, immersive","Pro","First-person POV action shot, immersive perspective, GoPro aesthetic but cinematic, adventure sports or exploration, dynamic movement, adrenaline feel, wide angle lens distortion"
29,"Slow Motion Detail","B-Roll","Runway","slowmo, detail, elegant, artistic","Pro","Dramatic slow motion detail shot, water droplet, powder explosion, or fabric movement, high frame rate aesthetic, elegant motion, macro detail, artistic commercial style, temporal stretching"
30,"Underwater Follow Shot","B-Roll","Runway","underwater, aquatic, blue, weightless","Pro","Smooth underwater camera movement, following subject swimming, natural caustic light patterns, blue water tones, documentary ocean aesthetic, weightless feel, aquatic life or human subject"
31,"Car Interior Interview","Interview","Pika","car, interior, night, moody","Pro","Cinematic car interior interview, soft practical lighting from dashboard, subject profile view, shallow depth of field through window, night city lights in background, moody atmospheric feel"
32,"Outdoor Golden Hour Interview","Interview","Pika","outdoor, golden, sunset, natural","Pro","Outdoor interview during golden hour, natural backlight creating rim lighting, subject in shade with sun behind, cinematic glow, documentary field aesthetic, warm sunset tones, environmental context"
33,"Three-Panel Split Interview","Interview","Runway","split, artistic, experimental, editorial","Pro","Creative three-panel split screen interview, different angles of same subject, artistic composition, experimental documentary style, editorial aesthetic, modern art direction, magazine feel"
34,"Vintage Film Interview","Interview","Runway","vintage, film, 16mm, retro","Pro","16mm film aesthetic interview, warm color grade, film grain texture, vintage lens distortion, retro documentary style, nostalgic feel, slightly soft focus, period piece aesthetic"
35,"Walk-and-Talk Interview","Interview","Runway","walk, talk, dynamic, conversation","Pro","Dynamic walk-and-talk interview, two subjects moving through environment, steady gimbal follow, natural conversation energy, Aaron Sorkin style, professional TV aesthetic, engaging movement"
36,"Holographic Interface","Motion Graphics","Pika","hologram, ui, scifi, tech","Pro","Futuristic holographic UI elements, sci-fi heads-up display, transparent layers, cyan and magenta accents, tech aesthetic, Iron Man style interface, data visualization, cyberpunk feel"
37,"Kinetic Typography","Motion Graphics","Pika","typography, kinetic, bold, energy","Pro","Dynamic kinetic typography animation, text forming and transforming, bold graphic design, music video aesthetic, sync to rhythm, energetic motion, modern editorial style, striking visuals"
38,"Liquid Morph Transition","Motion Graphics","Runway","liquid, morph, transition, satisfying","Pro","Smooth liquid morphing transition between shapes, satisfying fluid motion, glossy surface reflections, 3D aesthetic, organic movement, premium motion design, seamless loop potential"
